start_date,end_date,event,start_lat,start_lon,end_lat,end_lon
10/3/09,,Bophelong visit,-26.6870614,27.7839915,,
10/3/09,11/8/09,Local Government Elections Workshop,-26.20192,28.05097,,
11/9/09,,Office interview with B,-26.20192,28.05097,,
11/13/09,,Orlando East March,-26.243254,27.923966,-26.23735,27.927667
11/15/09,,Protea South March,-26.284604,27.8435,,
11/19/09,,Alex People's Inspection,-26.1057789,28.0644572,,
11/24/09,,SCR March,-26.2515141,27.854085,,
11/27/09,,Interview with Q,-26.20192,28.05097,,
11/27/09,,March Vaal,-26.607459,27.840795,,
11/28/09,,Heroes Day,-26.2575162,27.9332975,,
12/5/09,,Abahlali Solidarity March,-26.286488,27.847106,-26.275521,27.835991
12/7/09,,Court Case Solidarity,-26.609666,27.8484755,,
12/18/09,,Interview with M,-26.234569,27.933134,,
12/18/09,,Interview with T,-26.234569,27.933134,,
1/21/10,,Nersa Hearings,-26.0023427,28.1310076,,
1/22/10,,Feedback Interview OE,-26.2391549,27.9258498,,
1/23/10,,Dennis Brutus Memorial,-26.20192,28.05097,,
1/25/10,,Visit to Itereleng,-25.75207,28.196714,-25.7909855,28.0705573
1/26/10,,Interview on Nersa Hearings,-26.2575162,27.9332975,,
1/27/10,,Interview with M,-26.5303614,27.8733012,,
2/16/10,,Interview with K,-26.189775,28.04312,,
2/17/10,,Court Case Solidarity,-26.609666,27.8484755,,
2/22/10,,Vaal March (??),-26.6753884,27.9284722,,
3/6/10,3/7/10,APF Conference,-26.20192,28.05097,,
3/12/10,,Visit to Boiketlong,-26.5832179,27.8408003,,
3/16/10,,OE Meeting,-26.2348536,27.923848,,
3/17/10,,Parliament Visits Vaal,-26.5848839,27.8344046,Not the exact location,
3/18/10,,Visit with M,-26.5992145,27.8308785,,
3/20/10,,CDL meeting,-26.189775,28.031677,,
3/21/10,,Sharpeville Memorial,-26.6857113,27.8709334,,
3/23/10,,Feedback Interview with AK,-26.202096,28.0422327,,
3/26/10,,POWA Book Launch,-26.2028558,28.0312015,,
4/12/10,,CAWP AGM,-26.20192,28.05097,,
4/24/10,4/25/10,APF AGM Day 1 & 2,-26.20192,28.05097,,
4/26/10,4/30/10,Interview with L,-26.20192,28.05097,,
5/1/10,,May Day ,-26.20192,28.05097,-26.20272,28.031341
5/11/10,,Vaal March to Arcelor Mittal,-26.673235,27.8040497,,
5/25/10,,Interview with MF,-26.4729905,27.8657445,,
5/26/10,,Interview with Ka,-26.20192,28.05097,,
5/27/10,,Interview with K,-26.189775,28.04312,,
5/29/10,,Interview with MT,,,,
5/30/10,,Visit to Khutsong,-26.3300219,27.316306,,
6/1/10,,Visit to CDP *pictures*,-26.19284,28.06601,,
6/2/10,,Interview with Mi + W,-25.7699556,28.1183849,,
6/2/10,,Visit to POWA office,-26.181418,28.055327,,
6/11/10,,World Cup March,-26.25105,27.95678,-26.249917,27.962842
6/16/10,,Youth Day pictures + Interview with B,-26.262313,27.882917,,
6/25/10,,Jozi Regional Housing March,-26.204407,28.037939,,
6/28/10,,Interview with Mi,-25.7699538,28.1183756,,
7/7/10,,Interview with UPM Members (Grahamstown),-33.310764,26.52541,,
7/11/10,,Schubart Park Anti-Xenophobia Event,-25.7453693,28.1823943,,
7/25/10,,Remmoho Elections,-26.20192,28.05097,,
8/3/10,,Quagga Evictions,-25.7699538,28.1183756,,
8/23/10,,Interview with S,-26.6916961,27.7910105,,
8/25/10,,Interview with TM,-26.4033174,27.8967195,,
8/30/10,,Interview with D,-26.6916961,27.7910105,,
9/8/10,,Interview with Ma,-26.459006,27.86214,,
9/9/10,,Interview with R,-26.365282,28.1712989,,
9/14/10,,CDP Sculpture,-26.19284,28.06601,,
9/15/10,,Soweto March,-26.2676604,27.8606672,,
10/4/10,,Pictures from Kg,-25.7699538,28.1183756,,
10/14/10,,Pictures from APF Office/interview with T,-26.20192,28.05097,,
10/16/10,,Interview with G,-26.3374595,27.8643129,,
10/18/10,,Interview with T,-26.20192,28.05097,,
10/19/10,,Silent March (Freedom of Expression),-26.19289,28.034651,26.189771,28.043127
11/5/10,,Pictures from Kg,-25.7699538,28.1183756,,
11/9/10,,Interview with Si,-26.18246,28.01318,,
11/17/10,,SCR Meeting,-26.2416663,27.9475,,
11/18/10,,Interview with P,-26.568041,27.8449984,,
11/19/10,,Interview with N,-26.2008899,28.041616,,
11/23/10,,SECC visit + interviews,-26.2575162,27.9332975,,
11/24/10,,SCR Meeting,-26.234569,27.933134,,
11/25/10,,OE Electricity Meeting,-26.2348536,27.923848,,
11/29/10,,SECC March,-26.2663774,27.8754511,,
12/8/10,,Interview with MJ,-26.2575162,27.9332975,,
12/13/10,,Picture of P memorial poster,-26.20192,28.05097,,
12/14/10,,Interview with V,-26.20192,28.05097,,
